title,price,link
"Wide Silver Brand Ring Large Silver Ring 925 Textured Brand Ring Cigar Band Ring Organic Silver Band 14 mm Band Ring Contemporary Jewelry.","91.75","https://www.etsy.com/sg-en/listing/1639197474/wide-silver-brand-ring-large-silver-ring?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTf60929b3bfec33741e1db12106e021e31817286a&click_sum=6a122ec9&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-22&sr_prefetch=1&pf_from=search&frs=1&cns=1&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTf60929b3bfec33741e1db12106e021e31817286a"
"Silver Double Layer Band Thumb Ring-Stackable Thick Adjustable Ring-Mothers Day Gift-Present-Valentines Day Gift For Her-Jewelry For Woman","37.07","https://www.etsy.com/sg-en/listing/1863852621/silver-double-layer-band-thumb-ring?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT44c1401811eaa6d7027e179ca526d1945a2e1e7d&click_sum=8a94f3ad&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-23&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT44c1401811eaa6d7027e179ca526d1945a2e1e7d"
"Handmade 925 Sterling Silver Stacking Ring Set Floral Design Minimalist Floral Band, Nature-Inspired","17.41","https://www.etsy.com/sg-en/listing/4443058707/handmade-925-sterling-silver-stacking?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT34ac02f9cc54789e2c103d3763b17e9c0bbb3073&click_sum=e5b9c6f2&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-24&sr_prefetch=1&pf_from=search&pro=1&frs=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT34ac02f9cc54789e2c103d3763b17e9c0bbb3073"
"Oval Shell Ring – Sterling Silver Mother of Pearl or Abalone Ring – Ocean Inspired Dainty Beach Jewelry","51.56","https://www.etsy.com/sg-en/listing/4472632150/oval-shell-ring-sterling-silver-mother?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTcc72f921248b09759c4d4d08dad4abf7c52c2af1&click_sum=418f0546&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-25&sr_prefetch=1&pf_from=search&sts=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTcc72f921248b09759c4d4d08dad4abf7c52c2af1"
"Celestial Moon Star Ring | Blue Stone Sterling Silver Ring | Dainty Galaxy Jewelry | Minimalist Moon Ring | Gift for Her","32.35","https://www.etsy.com/sg-en/listing/4470758182/celestial-moon-star-ring-blue-stone?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALTc5e9b3ee9b6a9e3795715c7d37c505cbcc639013&click_sum=ffe60e56&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-26&sr_prefetch=1&pf_from=search&pro=1&pop=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALTc5e9b3ee9b6a9e3795715c7d37c505cbcc639013"
"Rustic Diamond - Unique Engagement Ring with Small Diamond, Sterling Silver and 18k Gold, Conflict Free","404.87","https://www.etsy.com/sg-en/listing/243890729/rustic-diamond-unique-engagement-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT7ce955465e446e0f3e37cb691078ed596b459df5&click_sum=cabcd51e&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-15&sr_prefetch=1&pf_from=search&etp=1&sts=1"
"R001826 Genuine sterling silver ring solid hallmarked 925 Lovers","103.59","https://www.etsy.com/sg-en/listing/623194726/r001826-genuine-sterling-silver-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT61396b35ca74c71b36ea448baea0117f89a32cef&click_sum=914c6626&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-16&sr_prefetch=1&pf_from=search&pro=1&frs=1&sca=1"
"Handmade silver ring for women moss agate ring for her leaf nature gift for wife","104.13","https://www.etsy.com/sg-en/listing/4304138616/handmade-silver-ring-for-women-moss?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT1f9881a493afe4fb5a4bbc65aac17701f0a4f56c&click_sum=5428c5d9&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-17&sr_prefetch=1&pf_from=search&pro=1&frs=1&bes=1&sts=1"
"Sterling Silver Baroque Pearl Ring: Organic Non-Nucleated Pearls, One-of-a-Kind","88.17","https://www.etsy.com/sg-en/listing/893107096/sterling-silver-baroque-pearl-ring?click_key=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%3ALT69877fcf220ad12cbc757d6a920f56a6b59be719&click_sum=bf6bd831&ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28679-1-27&sr_prefetch=1&pf_from=search&etp=1&content_source=ca41416c-65c0-4b43-bdc1-cf41c44cfdec%253ALT69877fcf220ad12cbc757d6a920f56a6b59be719"
"Handmade Wavy 925 Sterling Silver Ring: Adjustable Open Band","27.20","https://www.etsy.com/sg-en/listing/4367176484/handmade-wavy-925-sterling-silver-ring?click_key=Eu9KU_VbE9cSULR50y2qnmw7CV6b%3ALT0ac94180e9050e59dab7c610fa91f54e2586088a&click_sum=f5a3e45a&ls=a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=silver+ring&ref=search_grid-28678-1-18&sr_prefetch=1&pf_from=search&pro=1&bes=1"
